name,sex,ID_card,phone_number,email,company,career,credit_card_number,credit_limit,application_date,address
陆秀梅,F,130534198111188285,18594521497,juan80@yahoo.com,济南亿次元科技有限公司,药品市场推广主管/专员,6011865871656377,135775,2020-05-17 19:27:20,黑龙江省刚县兴山李街u座 540847
赵坤,F,623000197705139089,13942076492,wei71@hotmail.com,戴硕电子信息有限公司,其他,4668639377772348,72304,2019-10-17 15:15:05,上海市明市和平荆门街Q座 934942
文欣,F,620922197012313595,13917962617,huangqiang@gmail.com,恩悌信息有限公司,音效设计师,4092018970049,50798,2020-02-19 05:25:16,澳门特别行政区长沙县东丽呼和浩特街P座 796669
李春梅,M,140621196104207122,15788180377,hlu@gmail.com,彩虹信息有限公司,平面设计师,4064257249778288105,90925,2019-10-19 23:43:59,重庆市冬梅市清河盛路q座 857246
钟芳,F,320402198801265443,15160235143,yan39@yahoo.com,数字100传媒有限公司,保安人员,3517672522340484,166302,2020-05-21 17:29:04,内蒙古自治区亮县房山程路J座 762196
刘杨,F,370684197109152629,13663435308,suna@gmail.com,泰麒麟科技有限公司,其他,4411816045381138,110942,2019-12-27 22:04:16,甘肃省南昌市房山张路P座 841827
王平,M,41110120011115472X,13309793747,sufang@hotmail.com,思优信息有限公司,建筑工程与装潢,30378676510625,195009,2019-12-05 12:25:26,福建省桂香县长寿哈尔滨街d座 331985
刘兵,F,445281195302224041,15694657986,li96@yahoo.com,迪摩网络有限公司,配色工,6011449945415902,97470,2020-05-10 07:14:19,甘肃省辽阳市六枝特齐齐哈尔路m座 652849
王俊,F,371321195907216682,18913224861,yang09@yahoo.com,晖来计算机信息有限公司,图书管理员/资料管理员,4234545343347203,161091,2019-12-10 09:07:46,安徽省广州县城东成都街x座 510902
乔桂花,F,460105199801157467,15563752768,tqiao@hotmail.com,华泰通安科技有限公司,货运代理,4749683000174483489,46165,2019-09-07 17:34:39,湖南省淑兰市和平辛集街K座 967497
王强,F,500242197911101908,15929133416,cliang@gmail.com,数字100科技有限公司,多媒体设计,4296455116946055,172975,2020-07-18 09:19:52,西藏自治区洋市西峰张路w座 659790
张旭,M,211011199805162809,15162755913,luli@hotmail.com,联软传媒有限公司,店铺推广,4141241397965,149251,2020-01-06 11:04:45,宁夏回族自治区健市海陵哈尔滨路g座 225086
周娜,M,360803195007028805,18540478498,yelei@gmail.com,图龙信息网络有限公司,翻译,3552602042235514,144151,2019-09-18 22:36:49,新疆维吾尔自治区辛集县沈河济南街W座 456076
庞玉,F,500113193010158872,15078512773,lei33@gmail.com,东方峻景网络有限公司,网店/淘宝客服,4476066348193549,179884,2020-05-13 17:18:52,台湾省玉县徐汇张街T座 905962
潘旭,F,220105198604143438,15075213812,yanxie@hotmail.com,惠派国际公司传媒有限公司,农艺师,180009257725716,54635,2019-10-05 00:03:29,福建省莹市沙湾侯街o座 793600
曾婷,M,370306195705021719,15234475869,juan10@gmail.com,维旺明信息有限公司,广告,30536530242145,55863,2019-11-06 12:09:48,新疆维吾尔自治区拉萨市清浦李街r座 722203
李玉,M,130429197510179182,15306302801,jietian@hotmail.com,精芯科技有限公司,医药代表,4455884742319188,184723,2020-01-03 12:34:45,广东省巢湖县浔阳合肥路N座 928523
邓婷婷,M,431127198711180267,15374066152,zouping@gmail.com,盟新信息有限公司,监察人员,30071205445609,193550,2019-12-06 00:03:11,黑龙江省济南县淄川潜江街U座 497806
张旭,M,410185196704295680,13851692946,uding@hotmail.com,飞海科技网络有限公司,车身/造型设计,213138894083733,199530,2019-11-07 17:16:37,河南省齐齐哈尔县门头沟齐齐哈尔街R座 924738
向波,F,150204194209109363,18824241007,mwang@hotmail.com,数字100信息有限公司,公关主管,2255069806850585,176305,2019-08-30 02:02:40,湖南省北镇县涪城兴城路m座 523933
陈建平,M,510311198905168353,18937490928,clei@gmail.com,联软传媒有限公司,薪资福利经理/主管,3518462777427635,23005,2020-04-22 18:38:55,上海市勇市花溪冯路F座 413037
滕秀荣,M,361022197309178150,15619970698,xiuyingxia@gmail.com,太极传媒有限公司,统计员,6503095511303058,183668,2019-12-31 04:31:51,天津市潜江县大兴关岭街e座 413181
钟龙,F,411726199701307057,13493930928,nadong@hotmail.com,九方网络有限公司,信用卡销售,3519329980898184,150398,2019-09-04 10:37:15,河南省马鞍山市魏都海门街Z座 116163
郑超,M,441600197011235567,15333148276,taolu@gmail.com,七喜网络有限公司,注塑工,4543720217584878,174142,2019-09-19 16:12:03,江西省畅市上街贵阳街r座 577080
钟秀芳,F,441600193509271137,18194489150,lizou@hotmail.com,创汇信息有限公司,仓库经理/主管,6596007461794978,27774,2020-07-01 20:47:19,湖北省乌鲁木齐市城东通辽街h座 562953
赵刚,F,450204196108206914,18523983692,zouxiuying@gmail.com,网新恒天网络有限公司,光源与照明工程,4291593519299443641,2411,2020-02-12 12:29:04,新疆维吾尔自治区坤县梁平潘街c座 227760
强玉英,F,12010319750622169X,15587839652,dengxia@hotmail.com,巨奥科技有限公司,其他,4864446565279298,147948,2020-01-19 05:39:11,河北省亮县长寿李街n座 917941
高秀芳,M,513322199103142705,15282866898,jinming@gmail.com,恒聪百汇传媒有限公司,砌筑工,180002000892529,187379,2019-08-30 18:30:14,吉林省长春市吉区沈阳路E座 609068
郭玉华,M,211011197111201296,13302335512,tsu@hotmail.com,银嘉信息有限公司,钻工,560513719966,170316,2019-11-27 22:19:01,山东省武汉市长寿乌鲁木齐街O座 124483
黄璐,M,371526194612133132,13376334938,kangchao@hotmail.com,凌颖信息科技有限公司,附件系统工程师,630461523239,113744,2020-05-10 02:18:22,安徽省兰英市魏都俞路W座 584500
朱丽丽,F,331101197611061533,15851600004,suxiuying@yahoo.com,艾提科信网络有限公司,排版设计,3521860361395453,55208,2020-05-27 03:18:58,浙江省石家庄市南湖徐街s座 803529
刘璐,M,532625198509016446,18022428339,laiping@gmail.com,东方峻景传媒有限公司,房地产项目招投标,4159136230431324334,157406,2020-02-12 12:03:00,江苏省广州市长寿宁德路J座 286890
刘丽丽,M,510101199712010585,13148730365,nayao@hotmail.com,四通科技有限公司,工程监理,501810546728,73434,2019-09-04 01:18:19,青海省郑州县东城萧街x座 756125
杨畅,F,620201198802163581,15509182815,wpeng@yahoo.com,鸿睿思博信息有限公司,物业机电工程师,4043540797962376,150403,2019-09-15 20:45:05,湖北省宁德市淄川天津路n座 110520
杨帅,M,410506199405068031,15884553998,jielong@hotmail.com,联软科技有限公司,韩语/朝鲜语翻译,3550787130934672,154653,2020-04-15 05:13:47,青海省哈尔滨县孝南西安街G座 669108
董欣,F,210122199710191387,15858732360,liangfang@gmail.com,群英网络有限公司,技工,343261412704615,171398,2020-05-28 12:44:26,山东省兴安盟市沙湾邬街A座 863671
韩燕,M,430422197602016352,13479044307,tiangang@gmail.com,新宇龙信息传媒有限公司,采购主管,30044524300672,78541,2019-10-27 21:46:12,山西省勇市长寿太原街O座 252838
张荣,M,320804194701128915,14736294945,jzhong@yahoo.com,毕博诚信息有限公司,物业管理专员/助理,4708883383343635,64174,2019-10-12 07:03:24,福建省西宁县沙市淮安街v座 936282
王艳,M,350500194912213494,13945481276,min92@hotmail.com,襄樊地球村网络有限公司,固定资产会计,4033469185256583,106175,2020-01-16 06:29:00,黑龙江省潜江市大东何街w座 612850
唐凤兰,M,441625195103068629,15354838724,rxiong@yahoo.com,通际名联信息有限公司,风险管理/控制,4153662618928018,140739,2020-04-05 23:50:18,河南省潜江市秀英郭路d座 681916
丁鹏,M,620824197206236150,18095626638,jyin@gmail.com,思优网络有限公司,网站编辑,581537408444,1300,2020-02-06 05:01:15,天津市六盘水县安次李街u座 527264
薛桂香,F,330101199704221151,15509206018,fqin@yahoo.com,国讯网络有限公司,销售主管,4262872713351,13206,2020-01-16 08:55:34,黑龙江省秀兰县兴山李街a座 189220
王军,M,511526194204184754,13088802116,vyang@yahoo.com,凌颖信息网络有限公司,维修经理/主管,4897570189654742,152834,2020-03-01 00:02:38,海南省玉市静安王街A座 668242
凌英,F,513325200207246300,14554813167,fangzou@hotmail.com,维涛信息有限公司,矿产勘探/地质勘测工程师,502007839603,97181,2019-09-26 01:04:10,河南省利县吉区胡街Y座 489038
欧军,M,513332196603065485,14716646842,wei29@yahoo.com,良诺网络有限公司,医药学术推广,180067130614739,122112,2020-07-22 02:02:32,西藏自治区南昌县浔阳杨街i座 433664
王丽华,F,361130199211085700,13167971776,bxue@hotmail.com,凌云科技有限公司,其他,4486501475706307,130124,2020-08-10 10:56:23,福建省宇市东丽马鞍山路t座 842447
刘丽丽,M,513424195701178716,15882651186,weiluo@gmail.com,维旺明传媒有限公司,地勤人员,3595548933744479,68076,2019-08-27 17:14:09,天津市玉英市六枝特淮安路T座 224844
王玲,F,110100197304215784,15126910065,fangjin@hotmail.com,华泰通安传媒有限公司,足疗,4398870162345613,68772,2020-05-05 08:32:03,内蒙古自治区六安市城东南宁街f座 272280
孙军,M,431129194510217478,15583326682,dongping@hotmail.com,飞海科技信息有限公司,行李员,3569501736289459,12186,2020-01-24 21:46:45,云南省六盘水县安次邓路b座 858229
阳荣,F,140824198107189977,13210019627,jing08@yahoo.com,昊嘉信息有限公司,计算机硬件,5103063537145263,45176,2019-10-08 21:01:12,浙江省彬市大东齐齐哈尔街D座 955722
宁明,F,410926193507054167,18502588067,guiyingzou@gmail.com,趋势网络有限公司,采购经理,5370915089643563,155407,2019-12-03 14:14:09,上海市凯县新城通辽街L座 750391
傅云,M,44070119740901970X,13457400023,ming49@gmail.com,通际名联传媒有限公司,其他,3509004828487498,150723,2019-11-15 21:17:56,湖南省南昌市安次马鞍山路a座 574394
张帅,M,610430194105099230,15381365937,hanxiulan@hotmail.com,巨奥传媒有限公司,护理主任/护士长,4592159174698621,134575,2020-07-25 20:41:50,天津市长沙市沙市孔街U座 618984
陈秀芳,F,511825197405176527,15181455957,ming75@yahoo.com,昂歌信息科技有限公司,酒店/宾馆销售,4047421318400,140428,2019-11-20 03:24:30,云南省鹏市海港兴城街i座 246409
李雷,M,120106194303061716,13571567964,haojie@hotmail.com,开发区世创信息有限公司,客户关系经理/主管,4822559790038,140417,2020-04-29 00:46:02,辽宁省林市崇文朱路o座 152888
李丽华,M,411023198407094597,13167659663,xia97@hotmail.com,新宇龙信息信息有限公司,供应链总监,4794105767812,15919,2019-11-12 14:57:17,广东省昆明县和平张路e座 660667
艾梅,F,320601199811134921,18133640253,tyu@yahoo.com,明腾信息有限公司,楼宇自动化,6538823874850756,150386,2020-06-12 14:58:17,海南省宁市秀英彭街x座 704657
黄婷婷,M,445303198501057661,13438903581,ushen@yahoo.com,联通时科科技有限公司,足疗,180076216101586,58640,2020-03-06 14:31:19,江苏省武汉市徐汇伍路D座 749749
吴强,M,410822197605297055,13819562987,juan64@hotmail.com,诺依曼软件传媒有限公司,车辆质量工程师,4112688522811,194060,2020-06-25 13:59:06,台湾省丽市翔安林路p座 951095
池玉,F,530801197404132436,13856552487,lpeng@gmail.com,明腾网络有限公司,维修经理/主管,4094558623133739,91360,2020-05-23 22:18:01,浙江省兰英县门头沟南宁街z座 869441
王平,M,410922195007200432,15286348164,gliu@yahoo.com,晖来计算机信息有限公司,嵌入式软件开发(Linux/单片机/PLC/DSP…),4143904337149408,195069,2020-01-07 10:17:50,福建省澳门县门头沟柳州路U座 106294
黄峰,F,350622195901310457,15341223212,jiechang@gmail.com,开发区世创科技有限公司,面点师,4344371418148376794,96722,2020-05-16 16:33:25,海南省洁县崇文大冶路Y座 382167
姜桂芳,M,341824199503221345,13653998455,yan15@yahoo.com,同兴万点网络有限公司,固废工程师,4328633097735901,152614,2019-12-11 00:55:57,青海省鑫县新城沈阳路I座 787072
黄玉梅,M,440000200205272471,13442885405,zhenggang@hotmail.com,联通时科网络有限公司,硫化工,3555696175170883,38875,2020-06-01 20:22:24,吉林省合山市秀英重庆路O座 503568
李丽娟,M,371501196303064905,13871099299,linxia@yahoo.com,毕博诚网络有限公司,院校教务管理人员,6574251751774482,34125,2020-05-19 13:09:56,陕西省南京市房山张家港路Z座 637602
周秀芳,F,440601198803167347,18100555014,jiezhu@hotmail.com,诺依曼软件传媒有限公司,客户主管/专员,38044206839387,188898,2020-07-13 19:10:01,河北省颖县秀英台北街T座 223900
萧亮,M,321101195507079337,18709037926,guomin@hotmail.com,华成育卓科技有限公司,税务经理/税务主管,4719996352340528860,122191,2020-06-12 13:15:10,甘肃省杰市南湖王街S座 688026
詹飞,M,433100198305121167,15976481075,pyu@gmail.com,飞海科技信息有限公司,电话销售,213100136453306,38117,2020-06-05 06:05:23,陕西省邯郸县永川程街Q座 872246
